주차장 이름,주변 주차장
동화동 공영주차장(구),"공유) 동화동 07(003~012구간)(구): 179, 신당동 공영주차장(구): 409, 신당사거리 공영주차장(구): 451, 신당역 공영주차장(구): 466, 로얄주차장(민영): 615, 동산 공영주차장(구): 619, 청계천두산위브더제니스상: 628"
신당동 공영주차장(구),"공유) 동화동 07(003~012구간)(구): 292, 청구 공영주차장(구): 353, 동화동 공영주차장(구): 409, 신당사거리 공영주차장(구): 411, 약수빌딩 주차장: 486, DDP동측(양쪽) 관광버스전용 주차장(시): 537, 청계천두산위브더제니스상: 580, 동대문 공영주차장(시): 597, 황학어린이공원 지하주차장(구): 693"
남산센트럴시티투웨니퍼스트오피스텔,"마른내로 공영주차장(시): 41, 묵정공원지하 공영주차장(구): 147, 배오개길 공영주차장(시): 258, 마른내길 공영주차장(시): 278, 을지트윈타워 주차장: 357, 훈련원공원 공영주차장(시): 372, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 451, 공유) 삼풍상가3구간(02~12)(구): 483, 공유) 삼풍상가4구간(18~21)(구): 485, 청계3(창경궁로_남) 공영주차장(시): 485, 훈련원공원 옆(구): 497, 삼풍넥서스빌딩: 498, 청계5(동호로_남) 공영주차장(시): 501, 공유) 삼풍상가4구간(23~26)(구): 504, 청계3(동호로) 공영주차장(시): 506, 청계3(남) 공영주차장(시): 514, 앰배서더서울 풀만 호텔: 516, 장충 공영주차장(구): 525, 청계3(북1) 공영주차장(시): 549, 청계2(북2) 공영주차장(시): 560, 우리은행ATM 종로5가지점: 592, 세운대림상가(동측)(구): 617, 청계5(동호로_북) 공영주차장(시): 620, 청계3(창경궁로_북1) 공영주차장(시): 636, 청계5(방산동) 공영주차장(시): 690, 청계5(북1) 공영주차장(시): 745"
마른내로 공영주차장(시),"남산센트럴시티투웨니퍼스트오피스텔: 41, 묵정공원지하 공영주차장(구): 171, 배오개길 공영주차장(시): 299, 마른내길 공영주차장(시): 316, 훈련원공원 공영주차장(시): 358, 을지트윈타워 주차장: 397, 훈련원공원 옆(구): 476, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 486, 앰배서더서울 풀만 호텔: 499, 청계5(동호로_남) 공영주차장(시): 503, 청계3(동호로) 공영주차장(시): 511, 장충 공영주차장(구): 514, 청계3(창경궁로_남) 공영주차장(시): 516, 청계3(남) 공영주차장(시): 524, 청계3(북1) 공영주차장(시): 560, 청계2(북2) 공영주차장(시): 591, 우리은행ATM 종로5가지점: 600, 청계5(동호로_북) 공영주차장(시): 620, 청계3(창경궁로_북1) 공영주차장(시): 663, 청계5(방산동) 공영주차장(시): 673, 청계5(북1) 공영주차장(시): 728"
묵정공원지하 공영주차장(구),"남산센트럴시티투웨니퍼스트오피스텔: 147, 마른내로 공영주차장(시): 171, 마른내길 공영주차장(시): 183, 배오개길 공영주차장(시): 248, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 326, 을지트윈타워 주차장: 340, 공유) 삼풍상가4구간(18~21)(구): 409, 공유) 삼풍상가3구간(02~12)(구): 440, 장충 공영주차장(구): 441, 삼풍넥서스빌딩: 452, 앰배서더서울 풀만 호텔: 454, 공유) 삼풍상가4구간(23~26)(구): 476, 훈련원공원 공영주차장(시): 518, 청계3(창경궁로_남) 공영주차장(시): 535, 공유) 장충동 10(005~009구간)(구): 583, 청계2(북2) 공영주차장(시): 609, 청계3(북1) 공영주차장(시): 614, 세운대림상가(동측)(구): 623, 청계3(남) 공영주차장(시): 629, 청계5(동호로_남) 공영주차장(시): 630, 청계3(동호로) 공영주차장(시): 632, 훈련원공원 옆(구): 644, 세운대림상가(서측)(구): 648, 청계2(북1) 공영주차장(시): 705"
공유) 진양상가1구간 1-02면 (장애인전용)(구),"공유) 삼풍상가4구간(18~21)(구): 202, 마른내길 공영주차장(시): 249, 삼풍넥서스빌딩: 304, 공유) 삼풍상가3구간(02~12)(구): 305, 배오개길 공영주차장(시): 316, 을지트윈타워 주차장: 322, 공유) 삼풍상가4구간(23~26)(구): 323, 묵정공원지하 공영주차장(구): 326, 돈화문로 공영주차장(시): 384, 남산센트럴시티투웨니퍼스트오피스텔: 451, 남산한옥마을 공영주차장(시): 455, 마른내로 공영주차장(시): 486, 세운대림상가(동측)(구): 547, 세운대림상가(서측)(구): 547, 청계3(창경궁로_남) 공영주차장(시): 574, 장충 공영주차장(구): 594, 청계2(북1) 공영주차장(시): 599, 청계2(북2) 공영주차장(시): 629, 청계3(남) 공영주차장(시): 677"
마른내길 공영주차장(시),"돈화문로 공영주차장(시): 154, 공유) 삼풍상가4구간(18~21)(구): 189, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 249, 공유) 삼풍상가4구간(23~26)(구): 261, 삼풍넥서스빌딩: 261, 공유) 삼풍상가3구간(02~12)(구): 275, 을지트윈타워 주차장: 384, 배오개길 공영주차장(시): 439, 세운대림상가(서측)(구): 450, 파인에비뉴: 452, 세운대림상가(동측)(구): 473, 남산한옥마을 공영주차장(시): 484, 청계2(북1) 공영주차장(시): 487, 크리스탈스퀘어 주차장: 522, 시그니쳐타워 주차장: 567, 청계1(북) 공영주차장(시): 573, 청계3(창경궁로_남) 공영주차장(시): 586, 청계2(북2) 공영주차장(시): 615, 세종주차장(민영): 642, 남산예장 관광버스전용 주차장(시): 645, 청계3(남) 공영주차장(시): 669, 청계3(창경궁로_북1) 공영주차장(시): 725, 청계3(북1) 공영주차장(시): 730"
LG전자베스트샵 광진본점,"스테이더디자이너스군자오피스텔 주차장: 288, 공유) 능동 IoT 공유주차장(구): 595"
스테이더디자이너스군자오피스텔 주차장,"LG전자베스트샵 광진본점: 288, 공유) 19-19(구): 487, 공유) 능동 IoT 공유주차장(구): 593"
공유) 19-19(구),"공유) 19-20(구): 179, 스테이더디자이너스군자오피스텔 주차장: 487, 공유) 19-12(구): 488"
공유) 19-20(구),"공유) 19-19(구): 179, 공유) 19-12(구): 311, 두봉상가 주차장: 622, 경륜경정 장안지점 주차장: 654, 공유) 19-04(구): 668"
공유) 05-10(구),"공유) 05-08(구): 68, 공유) 20-26(구): 334, 공유) 20-23(구): 528, 공유) 05-09(구): 563, 공유) 04-18(구): 708, 공유) 04-19(구): 725"
공유) 05-04(구),"서울숲더샵아파트 주차장: 162, 공유) 05-05(구): 164, 공유) 05-04(구): 194, 서울숲리버뷰자이아파트상가: 270, 공유) 06-02(구): 323, 왕십리 민자역사 비트플렉스몰 : 420, 공유) 04-55(구): 492, 공유) 06-05(구): 510, 공유) 04-22(구): 570, 공유) 04-20(구): 623"
공유) 05-05(구),"공유) 05-05(구): 107, 공유) 05-04(구): 154, 서울숲더샵아파트 주차장: 223, 공유) 06-02(구): 304, 서울숲리버뷰자이아파트상가: 315, 왕십리 민자역사 비트플렉스몰 : 358, 공유) 04-55(구): 455, 공유) 06-05(구): 462, 공유) 04-22(구): 511, 공유) 04-20(구): 580, 공유) 06-22(구): 628, 공유) 03-20(구): 694"
서울숲더샵아파트 주차장,"서울숲리버뷰자이아파트상가: 205, 공유) 05-05(구): 321, 공유) 05-04(구): 335, 공유) 06-02(구): 417, 왕십리 민자역사 비트플렉스몰 : 582, 공유) 04-55(구): 605, 공유) 08-10(구): 637"
공유) 06-02(구),"공유) 05-04(구): 169, 공유) 06-11(구): 249, 공유) 06-05(구): 285, 서울숲리버뷰자이아파트상가: 323, 공유) 05-05(구): 350, 서울숲더샵아파트 주차장: 417, 왕십리 민자역사 비트플렉스몰 : 435, 경진주차장: 518, 공유) 02-07(구): 531, 공유) 02-08(구): 546, 공유) 04-22(구): 618, 공유) 07-05(구): 619, 공유) 06-22(구): 627"
공유) 06-11(구),"공유) 06-05(구): 248, 공유) 06-02(구): 249, 공유) 02-07(구): 298, 공유) 02-10(구): 306, 공유) 02-08(구): 374, 공유) 05-04(구): 393, 경진주차장: 394, 공유) 02-06(구): 430, 하왕십리(건물) 공영주차장(구): 465, 서울숲리버뷰자이아파트상가: 541, 왕십리 민자역사 비트플렉스몰 : 550, 공유) 07-05(구): 571, 공유) 03-14(구): 619, 공유) 03-20(구): 648, 공유) 06-22(구): 732, 공유) 08-01(구): 767"
서울숲리버뷰자이아파트상가,"서울숲더샵아파트 주차장: 205, 공유) 06-02(구): 323, 공유) 05-04(구): 335, 공유) 05-05(구): 421, 공유) 08-10(구): 480, 공유) 06-11(구): 541, 공유) 06-05(구): 602, 공유) 02-08(구): 770"
공유) 02-06(구),"하왕십리(건물) 공영주차장(구): 36, 공유) 02-10(구): 124, 공유) 02-07(구): 193, 공유) 02-08(구): 364, 공유) 06-11(구): 430, 경진주차장: 469, 공유) 03-14(구): 594, 공유) 08-12(구): 628, 공유) 03-06(구): 657, 도선동(지하) 공영주차장(구): 657, 공유) 03-07(구): 678"
하왕십리(건물) 공영주차장(구),"공유) 02-06(구): 36, 공유) 02-10(구): 159, 공유) 02-07(구): 226, 공유) 02-08(구): 391, 공유) 06-11(구): 465, 경진주차장: 497, 공유) 03-14(구): 610, 공유) 08-12(구): 621, 공유) 03-06(구): 668, 도선동(지하) 공영주차장(구): 670, 공유) 03-07(구): 698"
공유) 02-10(구),"공유) 02-06(구): 124, 공유) 02-07(구): 126, 하왕십리(건물) 공영주차장(구): 159, 공유) 06-11(구): 306, 공유) 02-08(구): 318, 경진주차장: 411, 공유) 06-05(구): 443, 공유) 03-14(구): 588, 공유) 08-12(구): 632, 공유) 03-07(구): 653, 공유) 03-06(구): 752"
동산 공영주차장(구),"공유) 10-01(구): 140, 공유) 청구동 05(001~013구간)(구): 274, 약수빌딩 주차장: 335, 신금호파크자이아파트 상가동: 341, 공유) 10-05(구): 358, 청구 공영주차장(구): 370, 약수동 공영주차장(구): 513, 공유) 10-02(구): 539, 금호초등학교: 553, 동화동 공영주차장(구): 619"
공유) 청구동 05(001~013구간)(구),"약수빌딩 주차장: 179, 동산 공영주차장(구): 274, 청구 공영주차장(구): 303, 공유) 10-01(구): 394, 약수동 공영주차장(구): 453, 공유) 10-05(구): 543, 공유) 10-02(구): 665"
약수빌딩 주차장,"청구 공영주차장(구): 135, 공유) 청구동 05(001~013구간)(구): 179, 동산 공영주차장(구): 335, 공유) 10-01(구): 475, 신당동 공영주차장(구): 486, 공유) 10-05(구): 670, 공유) 동화동 07(003~012구간)(구): 682"
청구 공영주차장(구),"약수빌딩 주차장: 135, 공유) 청구동 05(001~013구간)(구): 303, 신당동 공영주차장(구): 353, 동산 공영주차장(구): 370, 공유) 10-01(구): 507, 공유) 동화동 07(003~012구간)(구): 551, 공유) 10-05(구): 726"
공유) 장충동 10(005~009구간)(구),"앰배서더서울 풀만 호텔: 130, 장충 공영주차장(구): 159, 공유) 다산동 03(001~055구간)(구): 511, 묵정공원지하 공영주차장(구): 583, 마른내로 공영주차장(시): 629, 마른내길 공영주차장(시): 727"
앰배서더서울 풀만 호텔,"장충 공영주차장(구): 83, 공유) 장충동 10(005~009구간)(구): 130, 묵정공원지하 공영주차장(구): 454, 마른내로 공영주차장(시): 499, 남산센트럴시티투웨니퍼스트오피스텔: 516, 마른내길 공영주차장(시): 605, 공유) 다산동 03(001~055구간)(구): 632, 배오개길 공영주차장(시): 702"
장충 공영주차장(구),"앰배서더서울 풀만 호텔: 83, 공유) 장충동 10(005~009구간)(구): 159, 묵정공원지하 공영주차장(구): 441, 마른내로 공영주차장(시): 514, 남산센트럴시티투웨니퍼스트오피스텔: 525, 마른내길 공영주차장(시): 573, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 594, 필동 공영주차장(구): 609, 공유) 다산동 03(001~055구간)(구): 670, 배오개길 공영주차장(시): 670, 공유) 삼풍상가3구간(02~12)(구): 778"
남산한옥마을 공영주차장(시),"남산예장 관광버스전용 주차장(시): 361, 필동 공영주차장(구): 453, 공유) 진양상가1구간 1-02면 (장애인전용)(구): 455, 마른내길 공영주차장(시): 484, 공유) 삼풍상가4구간(18~21)(구): 604, 돈화문로 공영주차장(시): 615, 공유) 삼풍상가3구간(02~12)(구): 658, 배오개길 공영주차장(시): 765"
필동 공영주차장(구),"남산한옥마을 공영주차장(시): 453, 장충 공영주차장(구): 609, 돈화문로 공영주차장(시): 657"
남산예장 관광버스전용 주차장(시),"남산동 공영주차장(구): 311, 남산한옥마을 공영주차장(시): 361, 남산케이블카 공영주차장(시): 583, 마른내길 공영주차장(시): 645, 돈화문로 공영주차장(시): 690, 소파로케이블카앞 관광버스전용 주차장(시): 696"
강동경희대학교병원,"명일동 공영주차장(시): 158, 이마트 명일점: 177, 공유) 주양쇼핑앞 주차장(구): 269, 명성프라자 주차장: 352"
공유) 주양쇼핑앞 주차장(구),"명일동 공영주차장(시): 221, 이마트 명일점: 266, 강동경희대학교병원: 269, 명성프라자 주차장: 312"
명성프라자 주차장,"이마트 명일점: 181, 명일동 공영주차장(시): 194, 공유) 주양쇼핑앞 주차장(구): 312, 강동경희대학교병원: 352"
명일동 공영주차장(시),"이마트 명일점: 46, 강동경희대학교병원: 158, 명성프라자 주차장: 194, 공유) 주양쇼핑앞 주차장(구): 221"
이마트 명일점,"명일동 공영주차장(시): 46, 강동경희대학교병원: 177, 명성프라자 주차장: 181, 공유) 주양쇼핑앞 주차장(구): 266"
볕우물 공영주차장(시),암사1동 주차장(구): 236
암사1동 주차장(구),"볕우물 공영주차장(시): 236, 명일동 주차장(구): 505"
공유) 능동 IoT 공유주차장(구),"어린이대공원(상상나라): 211, 스테이더디자이너스군자오피스텔 주차장: 593, LG전자베스트샵 광진본점: 595"
공유) 19-04(구),"공유) 19-03(구): 236, 공유) 19-21(구): 277, 공유) 19-17(구): 302, 송정동(건물) 공영주차장(구): 339, 공유) 19-12(구): 358, 공유) 19-02(구): 469, 공유) 19-01(구): 600, 공유) 19-20(구): 668, 공유) 19-19(구): 733"
공유) 19-12(구),"공유) 19-20(구): 311, 공유) 19-04(구): 358, 공유) 19-19(구): 488, 공유) 19-03(구): 594, 공유) 19-17(구): 611, 공유) 19-21(구): 622"
살곶이(평면) 공영주차장(구),"공유) 16-01(구): 381, 공유) 16-09(구): 383, 공유) 16-14(구): 393, 공유) 16-10(구): 445, 공유) 16-03(구): 474, 공유) 16-04(구): 512, 공유) 16-06(구): 580, 공유) 18-01(구): 583"
공유) 08-10(구),"응봉동(평면) 공영주차장(구): 419, 공유) 08-07(구): 436, 공유) 08-03(구): 439, 공유) 07-05(구): 479, 서울숲리버뷰자이아파트상가: 480, 공유) 16-01(구): 483, 뚝섬유수지(평면) 공영주차장(구): 527, 공유) 16-36(구): 561, 서울숲더샵아파트 주차장: 637"
공유) 07-05(구),"공유) 08-03(구): 181, 공유) 08-02(구): 299, 공유) 08-01(구): 364, 공유) 08-10(구): 479, 공유) 08-12(구): 494, 공유) 08-07(구): 520, 벽산하이피아프라자 별관: 545, 응봉동(평면) 공영주차장(구): 558, 공유) 06-11(구): 571, 공유) 09-06(구): 591, 공유) 06-02(구): 619, 공유) 09-02(구): 636"
공유) 08-01(구),"공유) 08-02(구): 181, 공유) 08-12(구): 184, 벽산하이피아프라자 별관: 256, 공유) 09-06(구): 333, 공유) 07-05(구): 364, 공유) 08-03(구): 381, 공유) 09-02(구): 421, 공유) 10-04(구): 482, 공유) 08-07(구): 667, 금남시장 공영주차장(구): 688, 공유) 06-11(구): 767"
공유) 08-12(구),"공유) 08-01(구): 63, 공유) 08-12(구): 126, 공유) 08-02(구): 242, 벽산하이피아프라자 별관: 302, 공유) 09-06(구): 382, 공유) 07-05(구): 386, 공유) 08-03(구): 428, 공유) 09-02(구): 474, 공유) 10-04(구): 505, 공유) 08-07(구): 769"
공유) 08-02(구),"공유) 08-01(구): 181, 공유) 08-03(구): 234, 벽산하이피아프라자 별관: 249, 공유) 09-06(구): 291, 공유) 07-05(구): 299, 공유) 09-02(구): 344, 공유) 08-12(구): 366, 공유) 08-07(구): 485, 공유) 10-04(구): 515, 응봉동(평면) 공영주차장(구): 541"
